발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2012,2012040923,야간,월,1,10,충남 청양군
2012,2012070316,주간,화,1,1,경남 김해시
2012,2012060413,주간,월,1,2,경남 김해시
2012,2012051512,주간,화,1,2,전북 완주군
2012,2012053123,야간,목,1,3,전북 완주군
2012,2012073022,야간,월,1,1,경북 청도군
2012,2012072003,야간,금,1,2,충북 진천군
2012,2012071108,주간,수,1,1,울산 울주군
2012,2012090910,주간,일,1,3,전북 부안군
2012,2012081020,야간,금,1,1,강원 원주시
2012,2012110204,야간,금,1,4,대구 수성구
2012,2012100621,야간,토,1,1,경기 안성시
2012,2012112404,야간,토,5,6,경기 안성시
2012,2012070504,야간,목,1,1,경북 김천시
2012,2012080720,야간,화,1,6,대구 동구
2012,2012081801,야간,토,1,1,경북 칠곡군
2012,2012011400,야간,토,1,5,인천 남동구
2012,2012011101,야간,수,1,1,경남 통영시
2012,2012021719,야간,금,1,1,충남 천안시
2012,2012032501,야간,일,1,1,경남 김해시
2012,2012042717,주간,금,2,3,전남 함평군
2012,2012040307,주간,화,1,1,경남 양산시
2012,2012050707,주간,월,1,28,경남 양산시
2012,2012042901,야간,일,1,1,경기 하남시
2012,2012052503,야간,금,1,2,경기 광주시
2012,2012061213,주간,화,1,1,충북 보은군
2012,2012070509,주간,목,5,10,경기 화성시
2012,2012061910,주간,화,1,1,울산 울주군
2012,2012061100,야간,일,4,5,인천 중구
2012,2012090803,야간,토,1,3,경남 산청군
2012,2012090608,주간,목,1,2,강원 원주시
2012,2012091901,야간,수,1,2,경기 안산시
2012,2012103003,야간,화,1,1,경기 용인시
2012,2012092721,야간,목,1,3,충북 청원군
2012,2012111410,주간,수,1,1,충북 음성군
2012,2012010116,주간,일,1,1,경북 상주시
2012,2012010313,주간,화,1,1,전북 고창군
2012,2012010409,주간,수,1,1,전북 군산시
2012,2012011216,주간,목,1,1,충남 천안시
2012,2012011023,야간,화,1,2,충남 논산시
2012,2012011106,주간,수,1,1,경남 진주시
2012,2012020319,야간,금,1,3,경북 경산시
2012,2012031806,주간,일,1,1,경북 청도군
2012,2012011612,주간,월,1,4,경기 수원시
2012,2012101722,야간,수,1,5,대구 동구
2012,2012091321,야간,수,1,1,울산 울주군
2012,2012111416,주간,수,1,9,경기 의왕시
2012,2012082205,야간,수,1,1,경북 경산시
2012,2012010206,주간,월,1,1,경기 화성시
2012,2012010720,야간,토,1,1,경북 안동시
2012,2012010906,주간,월,1,1,울산 남구
2012,2012010707,주간,토,1,1,충남 서산시
2012,2012010803,야간,일,1,2,대구 수성구
2012,2012010520,야간,목,1,1,충북 청주시
2012,2012011014,주간,화,1,1,경북 예천군
2012,2012011119,야간,수,1,1,전남 목포시
2012,2012011207,주간,목,1,1,경기 의왕시
2012,2012011123,야간,수,1,1,부산 연제구
2012,2012010815,주간,일,2,5,경북 영천시
2012,2012020400,야간,토,1,1,경기 평택시
2012,2012012905,야간,토,1,2,충남 당진시
2012,2012022921,야간,목,1,1,인천 남구
2012,2012051215,주간,토,1,3,강원 평창군
2012,2012052201,야간,화,1,5,전북 완주군
2012,2012032714,주간,화,4,9,경기 남양주시
2012,2012042421,야간,화,1,2,경남 밀양시
2012,2012051206,주간,토,1,1,인천 남동구
2012,2012010103,야간,일,1,1,경북 예천군
2012,2012010920,야간,월,1,2,경기 성남시
2012,2012010714,주간,토,3,7,충남 천안시
2012,2012011223,야간,목,1,2,대전 유성구
2012,2012011017,주간,화,1,1,전남 강진군
2012,2012012214,주간,일,1,5,대구 북구
2012,2012010510,주간,목,1,1,충북 옥천군
2012,2012061702,야간,일,1,1,경기 용인시
2012,2012070101,야간,일,1,2,경기 하남시
2012,2012072400,야간,화,1,1,경북 칠곡군
2012,2012122504,야간,화,1,2,경기 군포시
2012,2012090416,주간,화,1,8,전북 전주시
2012,2012092518,야간,화,1,2,경기 화성시
2012,2012092103,야간,금,1,1,경기 안성시
2012,2012102815,주간,일,1,5,전북 정읍시
2012,2012100402,야간,목,1,1,경기 하남시
2012,2012081817,주간,토,1,3,경기 여주시
2012,2012110302,야간,토,1,22,경북 예천군
2012,2012072520,야간,수,1,1,충남 서천군
2012,2012071422,야간,토,1,2,대구 북구
2012,2012062400,야간,일,1,1,경기 평택시
2012,2012071711,주간,화,1,1,전남 보성군
2012,2012020506,주간,일,1,4,충남 천안시
2012,2012050105,야간,화,1,8,경기 안양시
2012,2012032505,야간,일,1,1,경기 안양시
2012,2012071214,주간,목,1,2,충남 논산시
2012,2012061621,야간,토,1,6,전남 함평군
2012,2012061003,야간,일,1,1,전남 보성군
2012,2012070905,야간,월,1,1,울산 울주군
2012,2012062000,야간,수,1,3,경기 시흥시
2012,2012112714,주간,화,1,2,경북 고령군
2012,2012012800,야간,토,1,3,충남 천안시
2012,2012022101,야간,화,1,2,충북 청원군
2012,2012041321,야간,금,2,11,경북 상주시
2012,2012052523,야간,금,1,8,경북 상주시
2012,2012032100,야간,화,2,2,경북 상주시
2012,2012040303,야간,화,1,1,경북 상주시
2012,2012050402,야간,금,1,3,경북 상주시
2012,2012050917,주간,수,1,4,경기 용인시
2012,2012040716,주간,토,2,4,경기 이천시
2012,2012050809,주간,화,1,2,경북 상주시
2012,2012050221,야간,목,1,1,경북 영주시
2012,2012071813,주간,수,1,3,대구 달성군
2012,2012122809,주간,금,1,1,충북 옥천군
2012,2012102400,야간,수,1,1,충남 당진시
2012,2012082006,주간,월,1,1,경기 안양시
2012,2012122805,야간,금,1,3,경남 양산시
2012,2012122411,주간,월,1,1,경남 김해시
2012,2012082907,주간,수,1,1,부산 강서구
2012,2012092002,야간,목,1,1,부산 강서구
2012,2012091912,주간,수,1,1,충북 괴산군
2012,2012082000,야간,월,1,1,울산 울주군
2012,2012080206,주간,목,1,2,충북 청원군
2012,2012010101,야간,일,1,1,서울 은평구
2012,2012010222,야간,월,1,1,경기 수원시
2012,2012010310,주간,화,1,3,충북 음성군
2012,2012010317,주간,화,1,1,충북 충주시
2012,2012010419,야간,수,1,4,경기 성남시
2012,2012010913,주간,월,1,1,전북 부안군
2012,2012010518,야간,목,1,1,경기 시흥시
2012,2012011307,주간,금,1,1,경남 진주시
2012,2012011221,야간,목,1,1,경기 포천시
2012,2012011211,주간,목,1,1,경북 상주시
2012,2012011207,주간,목,1,1,대구 북구
2012,2012011113,주간,수,1,1,충남 아산시
2012,2012022803,야간,화,1,2,경북 상주시
2012,2012020209,주간,목,1,5,경기 용인시
2012,2012031210,주간,월,1,1,경북 경주시
2012,2012051211,주간,토,1,1,부산 기장군
2012,2012101009,주간,수,1,1,전북 정읍시
2012,2012110505,야간,월,1,1,대전 대덕구
2012,2012101717,주간,수,2,14,경남 진주시
2012,2012082804,야간,화,1,2,서울 서초구
2012,2012041301,야간,금,2,3,경기 안성시
2012,2012050116,주간,화,1,1,충북 청원군
2012,2012041700,야간,화,1,2,경기 평택시
2012,2012032413,주간,토,1,1,경기 오산시
2012,2012051901,야간,토,1,2,경기 화성시
2012,2012062206,주간,금,1,2,대구 수성구
2012,2012071002,야간,화,1,1,경기 용인시
2012,2012070102,야간,일,1,9,충남 천안시
2012,2012122222,야간,토,1,4,충북 청주시
2012,2012010920,야간,월,1,1,경기 용인시
2012,2012030614,주간,화,3,7,경기 이천시
2012,2012021107,주간,토,1,1,경기 구리시
2012,2012010118,야간,일,1,1,울산 남구
2012,2012010518,야간,목,1,1,제주 서귀포시
2012,2012010716,주간,토,1,1,경기 시흥시
2012,2012010723,야간,일,1,1,서울 강남구
2012,2012010809,주간,일,1,1,전남 장흥군
2012,2012010705,야간,토,1,1,울산 남구
2012,2012010706,주간,토,1,1,경기 시흥시
2012,2012010605,야간,금,1,1,제주 제주시
2012,2012010614,주간,금,1,3,전남 신안군
2012,2012011311,주간,금,1,4,강원 평창군
2012,2012011019,야간,화,1,1,충북 진천군
2012,2012011116,주간,수,1,1,경남 밀양시
2012,2012011007,주간,화,1,1,충북 청원군
2012,2012030308,주간,토,1,1,전북 완주군
2012,2012041611,주간,월,1,4,울산 울주군
2012,2012041620,야간,월,1,2,경북 의성군
2012,2012032619,야간,월,1,1,경북 구미시
2012,2012083006,주간,목,1,11,전남 장성군
2012,2012010314,주간,화,1,1,인천 계양구
2012,2012010302,야간,화,1,1,충남 태안군
2012,2012010305,야간,화,2,2,전남 나주시
2012,2012010515,주간,목,1,1,경기 수원시
2012,2012010512,주간,목,1,1,전남 순천시
2012,2012010903,야간,월,1,3,충북 청주시
2012,2012010716,주간,토,2,3,경기 가평군
2012,2012010622,야간,금,1,1,경기 가평군
2012,2012011121,야간,수,1,1,서울 중랑구
2012,2012021121,야간,금,1,3,충남 보령시
2012,2012020720,야간,화,1,2,경북 구미시
2012,2012020312,주간,금,1,1,인천 부평구
2012,2012062208,주간,금,3,8,전북 남원시
2012,2012060804,야간,금,1,2,서울 송파구
2012,2012052202,야간,화,1,4,경북 문경시
2012,2012050513,주간,토,1,2,울산 울주군
2012,2012052323,야간,수,1,1,경북 군위군
2012,2012070507,주간,목,1,1,경남 진주시
2012,2012070822,야간,일,1,5,경남 진주시
2012,2012062606,주간,화,1,1,경기 성남시
2012,2012072620,야간,목,4,14,경기 성남시
2012,2012111501,야간,목,1,5,전남 영광군
2012,2012111813,주간,일,1,4,전남 무안군
2012,2012121105,야간,화,1,1,충남 천안시
2012,2012081722,야간,금,1,2,경북 문경시
2012,2012082617,주간,일,3,4,강원 평창군
2012,2012090421,야간,화,1,3,강원 횡성군
2012,2012082815,주간,화,1,1,경북 경주시
2012,2012082402,야간,금,1,2,울산 울주군
2012,2012122806,주간,금,1,1,경남 함양군
2012,2012010207,주간,월,1,1,경기 고양시
2012,2012010305,야간,화,1,1,충남 서산시
2012,2012010512,주간,목,1,1,울산 울주군
2012,2012011320,야간,금,1,1,충남 예산군
2012,2012011204,야간,목,1,1,서울 관악구
2012,2012011112,주간,수,1,1,경기 의정부시
2012,2012011023,야간,화,1,3,부산 연제구
2012,2012052114,주간,월,1,1,경기 의왕시
2012,2012050202,야간,수,1,3,경기 여주시
2012,2012040602,야간,금,1,1,경기 용인시
2012,2012060816,주간,금,1,1,경북 안동시
2012,2012052713,주간,일,1,7,경북 구미시
2012,2012052804,야간,월,1,1,경북 김천시
2012,2012071619,야간,월,1,1,경북 안동시
2012,2012063008,주간,토,1,2,경기 시흥시
2012,2012121105,야간,화,1,7,경기 하남시
2012,2012011003,야간,화,1,5,전북 남원시
2012,2012010709,주간,토,1,3,서울 동작구
2012,2012011109,주간,수,1,2,경북 영덕군
2012,2012011018,야간,화,1,1,경북 경주시
2012,2012031803,야간,일,1,1,충북 충주시
2012,2012021505,야간,수,1,12,충북 음성군
2012,2012012002,야간,금,1,2,충북 음성군
2012,2012032002,야간,화,1,3,대구 동구
2012,2012021904,야간,일,1,1,경남 진주시
2012,2012020806,주간,수,1,2,경기 용인시
2012,2012041416,주간,토,1,2,경기 양주시
2012,2012090201,야간,일,1,2,경기 화성시
2012,2012010120,야간,일,2,12,경기 포천시
2012,2012010309,주간,화,1,1,경북 경주시
2012,2012010818,야간,일,1,1,전북 장수군
2012,2012010514,주간,목,1,1,인천 강화군
2012,2012010501,야간,목,1,1,경기 안산시
2012,2012011221,야간,목,1,1,경북 영천시
2012,2012011223,야간,목,1,1,전남 무안군
2012,2012011120,야간,수,1,1,서울 송파구
2012,2012011019,야간,화,1,1,경기 수원시
2012,2012031305,야간,화,1,2,전남 담양군
2012,2012022504,야간,토,1,2,경남 거창군
2012,2012021902,야간,일,1,1,경남 밀양시
2012,2012040904,야간,월,1,2,대구 동구
2012,2012052005,야간,일,1,2,대구 동구
2012,2012121110,주간,화,1,2,경남 합천군
2012,2012121501,야간,토,1,1,경남 산청군
2012,2012110603,야간,화,1,3,충북 충주시
2012,2012101617,주간,화,1,2,충북 괴산군
2012,2012101121,야간,목,1,2,경북 김천시
2012,2012081015,주간,금,1,1,경북 영천시
2012,2012010102,야간,일,1,4,서울 중구
2012,2012010501,야간,목,1,1,경기 남양주시
2012,2012010905,야간,월,1,1,인천 부평구
2012,2012010812,주간,일,1,2,경북 포항시
2012,2012010900,야간,월,1,1,경기 파주시
2012,2012010616,주간,금,1,1,경기 안양시
2012,2012011315,주간,금,1,3,부산 연제구
2012,2012122808,주간,금,1,1,경북 김천시
2012,2012112608,주간,월,1,1,경남 양산시
2012,2012091104,야간,화,1,3,경기 안성시
2012,2012122619,야간,수,1,3,경남 함양군
2012,2012010215,주간,월,1,2,경기 파주시
2012,2012010218,야간,월,1,1,전남 해남군
2012,2012010816,주간,일,1,2,경기 안산시
2012,2012011007,주간,화,1,1,전남 담양군
2012,2012010918,야간,월,1,1,울산 울주군
2012,2012052621,야간,토,1,1,충남 당진시
2012,2012043017,주간,월,1,11,경기 이천시
2012,2012030201,야간,금,1,1,경남 함안군
2012,2012012619,야간,목,1,2,전북 남원시
2012,2012020606,주간,월,1,2,경기 용인시
2012,2012010205,야간,월,1,2,경기 하남시
2012,2012012613,주간,목,1,1,인천 중구
2012,2012011811,주간,수,1,1,인천 연수구
2012,2012032222,야간,목,1,1,인천 계양구
2012,2012060212,주간,토,1,1,전남 영광군
2012,2012060520,야간,화,1,3,전남 장성군
2012,2012070704,야간,토,2,12,전남 장성군
2012,2012072200,야간,일,1,1,경기 의정부시
2012,2012071911,주간,목,1,1,강원 춘천시
2012,2012062614,주간,화,2,2,광주 광산구
2012,2012080503,야간,일,1,2,전북 완주군
2012,2012120506,주간,수,1,1,경기 양주시
2012,2012122012,주간,목,1,1,인천 남동구
2012,2012101721,야간,수,3,35,대구 동구
2012,2012111715,주간,토,1,9,경기 화성시
2012,2012122419,야간,월,1,6,전북 남원시
2012,2012051118,야간,금,1,3,경북 울진군
2012,2012051207,주간,토,1,1,인천 부평구
2012,2012051112,주간,금,1,2,전남 영암군
2012,2012051002,야간,목,1,1,대구 중구
2012,2012051620,야간,수,1,2,경기 광주시
2012,2012051606,주간,수,1,1,광주 남구
2012,2012051410,주간,월,1,1,충남 보령시
2012,2012052103,야간,월,1,1,경기 군포시
2012,2012052014,주간,일,1,1,서울 강북구
2012,2012052018,야간,일,1,2,전남 장성군
2012,2012052104,야간,월,1,1,경기 김포시
2012,2012052206,주간,화,1,1,광주 광산구
2012,2012052111,주간,월,1,1,전북 남원시
2012,2012052705,야간,일,1,4,대구 북구
2012,2012052508,주간,금,1,5,경기 오산시
2012,2012052508,주간,금,1,1,충남 서산시
2012,2012052600,야간,토,1,1,충남 부여군
2012,2012060203,야간,토,1,1,인천 계양구
2012,2012060112,주간,금,1,1,경북 영덕군
2012,2012060703,야간,목,1,1,경북 구미시
2012,2012060305,야간,일,1,3,전북 김제시
2012,2012060408,주간,월,1,1,전북 완주군
2012,2012060909,주간,토,1,18,충남 보령시
2012,2012060913,주간,토,1,2,충남 서산시
2012,2012060815,주간,금,1,1,전남 장성군
2012,2012060814,주간,금,1,1,경북 포항시
2012,2012060722,야간,목,1,1,강원 홍천군
2012,2012060805,야간,금,1,2,경북 포항시
2012,2012060707,주간,목,1,1,경기 광명시
2012,2012042720,야간,금,1,2,대구 달성군
2012,2012042500,야간,수,1,1,강원 횡성군
2012,2012042506,주간,수,1,2,인천 동구
2012,2012043009,주간,월,1,1,인천 연수구
2012,2012043021,야간,월,1,1,경기 포천시
2012,2012042721,야간,금,1,2,경기 시흥시
2012,2012050410,주간,금,1,4,경기 평택시
2012,2012050420,야간,금,1,4,충북 음성군
2012,2012050213,주간,수,1,3,충북 충주시
2012,2012050223,야간,수,1,1,전북 정읍시
2012,2012050123,야간,화,1,1,경기 부천시
2012,2012050121,야간,화,1,1,경기 고양시
2012,2012050615,주간,일,1,1,전북 부안군
2012,2012051321,야간,일,1,1,경기 양평군
2012,2012051016,주간,목,1,1,경북 문경시
2012,2012051600,야간,수,1,1,대구 수성구
2012,2012051519,야간,화,1,1,전남 여수시
2012,2012052322,야간,수,1,1,전남 목포시
2012,2012052322,야간,수,1,1,충남 천안시
2012,2012052421,야간,목,1,1,광주 북구
2012,2012052306,주간,수,1,1,충북 청주시
2012,2012052722,야간,일,2,2,부산 해운대구
2012,2012052602,야간,토,2,2,대구 북구
2012,2012052619,야간,토,1,1,인천 남동구
2012,2012053119,야간,목,1,1,인천 남동구
2012,2012053123,야간,목,1,2,인천 부평구
2012,2012053010,주간,수,1,2,울산 북구
2012,2012053108,주간,목,1,3,경기 성남시
2012,2012053104,야간,목,1,1,충남 공주시
2012,2012060610,주간,수,1,1,서울 양천구
2012,2012060518,야간,화,1,1,대구 수성구
2012,2012061110,주간,월,1,1,전북 완주군
2012,2012061018,야간,일,1,2,광주 광산구
2012,2012060906,주간,토,1,1,강원 양양군
2012,2012060820,야간,금,1,1,제주 서귀포시
2012,2012060903,야간,토,1,1,울산 남구
2012,2012061216,주간,화,1,1,부산 연제구
2012,2012061304,야간,수,1,1,전남 여수시
2012,2012042608,주간,목,1,1,대구 동구
2012,2012042712,주간,금,1,1,경남 산청군
2012,2012042603,야간,목,1,1,부산 연제구
2012,2012042514,주간,수,1,2,강원 양구군
2012,2012050101,야간,화,1,1,경기 성남시
2012,2012043005,야간,월,1,1,경기 김포시
2012,2012043008,주간,월,1,3,서울 강동구
2012,2012042813,주간,토,1,5,전남 화순군
2012,2012042917,주간,일,2,5,경북 영천시
2012,2012050510,주간,토,1,1,충남 홍성군
2012,2012050508,주간,토,1,1,부산 진구
2012,2012050302,야간,목,1,1,경남 창원시(통합)
2012,2012050308,주간,목,1,1,강원 원주시
2012,2012050619,야간,일,1,1,전북 익산시
2012,2012050623,야간,일,1,1,경북 경산시
2012,2012050620,야간,일,1,1,경기 고양시
2012,2012050513,주간,토,1,1,전남 완도군
2012,2012051305,야간,일,1,1,부산 강서구
2012,2012051309,주간,일,1,2,충북 증평군
2012,2012051316,주간,일,1,1,충남 당진시
2012,2012051510,주간,화,1,1,경북 포항시
2012,2012051520,야간,화,1,2,대구 수성구
2012,2012051923,야간,토,1,1,대구 북구
2012,2012052023,야간,일,1,1,경남 밀양시
2012,2012052015,주간,일,1,1,경남 밀양시
2012,2012051914,주간,토,4,12,광주 남구
2012,2012052518,야간,금,1,1,충북 괴산군
2012,2012052409,주간,목,1,3,전남 화순군
2012,2012052804,야간,월,1,1,경기 화성시
2012,2012052620,야간,토,1,1,충남 당진시
2012,2012052620,야간,토,1,1,충남 서산시
2012,2012052604,야간,토,1,4,부산 동래구
2012,2012052607,주간,토,1,1,부산 기장군
2012,2012052522,야간,금,1,1,경남 창원시(통합)
2012,2012053018,야간,수,1,5,충북 보은군
2012,2012052917,주간,화,2,3,인천 중구
2012,2012052920,야간,화,1,1,충남 당진시
2012,2012060518,야간,화,1,2,전북 남원시
2012,2012060314,주간,일,1,1,충북 청원군
2012,2012060922,야간,토,1,1,경기 여주시
2012,2012060919,야간,토,1,3,경기 이천시
2012,2012061316,주간,수,1,3,인천 부평구
2012,2012042619,야간,목,1,3,충남 예산군
2012,2012042620,야간,목,1,2,충남 예산군
2012,2012111010,주간,토,1,1,경남 합천군
2012,2012010102,야간,일,1,1,서울 서초구
2012,2012010307,주간,화,1,2,서울 관악구
2012,2012010320,야간,화,1,1,전남 여수시
2012,2012010815,주간,일,1,3,경남 창원시(통합)
2012,2012052918,야간,화,1,1,경기 파주시
2012,2012060118,야간,금,1,1,충남 금산군
2012,2012060510,주간,화,1,1,경기 안산시
2012,2012060602,야간,수,1,1,강원 횡성군
2012,2012060408,주간,월,1,2,전남 완도군
2012,2012060319,야간,일,1,1,충남 천안시
2012,2012061022,야간,일,1,1,대구 수성구
2012,2012061017,주간,일,1,1,경남 남해군
2012,2012061010,주간,일,1,4,제주 제주시
2012,2012060817,주간,금,1,1,대구 동구
2012,2012060822,야간,금,1,1,충북 제천시
2012,2012060705,야간,목,1,1,경북 구미시
2012,2012060817,주간,금,1,1,경북 문경시
2012,2012042508,주간,수,1,1,충북 청원군
2012,2012042318,야간,월,1,1,충남 당진시
2012,2012043018,야간,월,1,1,경기 안성시
2012,2012050118,야간,화,1,1,경기 안양시
2012,2012042909,주간,일,1,1,충남 아산시
2012,2012050313,주간,목,1,1,충남 천안시
2012,2012050301,야간,목,1,1,경기 시흥시
2012,2012050822,야간,화,1,1,서울 성동구
2012,2012050921,야간,수,1,1,경남 밀양시
2012,2012050510,주간,토,1,1,전남 순천시
2012,2012051106,주간,금,1,1,경기 의왕시
2012,2012051023,야간,목,1,2,충북 청원군
2012,2012051514,주간,화,1,1,경기 양주시
2012,2012052113,주간,월,1,3,경남 산청군
2012,2012052114,주간,월,1,1,강원 원주시
2012,2012051818,야간,금,1,1,전남 나주시
2012,2012052420,야간,목,1,1,강원 홍천군
2012,2012052805,야간,월,1,1,광주 북구
2012,2012060204,야간,토,1,1,인천 서구
2012,2012060120,야간,금,1,1,전남 고흥군
2012,2012060519,야간,화,1,5,부산 사하구
2012,2012060413,주간,월,1,1,경남 창녕군
2012,2012061108,주간,월,1,1,부산 영도구
2012,2012060806,주간,금,1,3,경남 밀양시
2012,2012042607,주간,목,1,1,충북 충주시
2012,2012042610,주간,목,1,1,충북 진천군
2012,2012042603,야간,목,1,1,충남 천안시
2012,2012050109,주간,화,1,1,경남 창원시(통합)
2012,2012050120,야간,화,1,2,경북 고령군
2012,2012042911,주간,일,1,1,경남 하동군
2012,2012042818,야간,토,1,6,전남 무안군
2012,2012050401,야간,금,1,1,서울 서대문구
2012,2012050316,주간,목,1,1,경기 남양주시
2012,2012050302,야간,목,1,1,광주 동구
2012,2012050808,주간,화,4,8,강원 홍천군
2012,2012060902,야간,토,1,3,경기 남양주시
2012,2012061502,야간,금,1,1,인천 부평구
2012,2012042711,주간,금,1,1,경기 부천시
2012,2012042619,야간,목,1,1,제주 서귀포시
